Component,Component_Meaning,Kanji,Kanji_Meaning,Word,Word_Reading,English_Meaning,Position_in_Deck
用,"utilize, business",踊,"jump, dance",踊り,おどり,"dance, dancing",1703
マ,,痛,"pain, hurt",痛い,いたい,painful,293
マ,,通,"traffic, pass through",通り,とおり,"boulevard, street",572
マ,,通,"traffic, pass through",通る,とおる,"pass, take (a road), go through",573
マ,,通,"traffic, pass through",通う,かよう,"go (a place) often, go to and from",574
マ,,通,"traffic, pass through",交通事故,こうつうじこ,traffic accident,575
マ,,通,"traffic, pass through",交通費,こうつうひ,"traveling expense, transportation cost",646
マ,,通,"traffic, pass through",通学,つうがく,going to school,754
マ,,通,"traffic, pass through",通過,つうか,"passing, passage",925
マ,,通,"traffic, pass through",普通,ふつう,"normal, regular",1047
マ,,通,"traffic, pass through",通常,つうじょう,"common, ordinary",1123
マ,,通,"traffic, pass through",通勤,つうきん,commute,1177
マ,,予,"beforehand, previous",予定,よてい,"schedule, plan",862
マ,,予,"beforehand, previous",天気予報,てんきよほう,weather forecast,863
マ,,予,"beforehand, previous",予習,よしゅう,preparation for class,865
マ,,予,"beforehand, previous",予約,よやく,"reservation, subscription, appointment",866
マ,,預,"deposit, custody",預ける,あずける,"deposit, entrust",1448
マ,,預,"deposit, custody",預かる,あずかる,keep (st) for (sb); take care of (st),1449
マ,,柔,"tender, weakness",柔道,じゅうどう,judo,1538
マ,,柔,"tender, weakness",柔らかい,やわらかい,soft,1539
マ,,柔,"tender, weakness",柔らか,やわらか,"soft, tender, gentle",1540
マ,,踊,"jump, dance",踊る,おどる,dance,1702
マ,,踊,"jump, dance",踊り,おどり,"dance, dancing",1703
酉,"west, bird",酒,"sake, alcohol",酒,さけ,"alcoholic drink, Japanese rice wine",294
酉,"west, bird",酸,"acid, bitterness",酸っぱい,すっぱい,sour,342
酉,"west, bird",配,"distribute, spouse",配る,くばる,"hand out, distribute",723
酉,"west, bird",配,"distribute, spouse",配達,はいたつ,delivery,724
酉,"west, bird",配,"distribute, spouse",心配,しんぱい,"anxiety, worry, assistance",725
酉,"west, bird",酔,"drunk, feel sick",酔っ払い,よっぱらい,drunk person,1067
酉,"west, bird",酔,"drunk, feel sick",酔っ払う,よっぱらう,get drunk,1068
酉,"west, bird",尊,"revered, valuable",尊敬,そんけい,"respect, honor",1695
酉,"west, bird",醤,a kind of miso,醤油,しょうゆ,soy sauce,1768
⺭,,杯,"counter for cupfuls, wine glass",一杯,いっぱい,full,296
⺭,,杯,"counter for cupfuls, wine glass",乾杯,かんぱい,a toast,1457
⺭,,神,"gods, mind",神,かみ,"god, spirit",313
⺭,,神,"gods, mind",神社,じんじゃ,Shinto shrine,1271
⺭,,社,"company, firm",会社,かいしゃ,"company, corporation",557
⺭,,社,"company, firm",社会,しゃかい,society,558
⺭,,社,"company, firm",社員,しゃいん,"staff member, employee",559
⺭,,社,"company, firm",社長,しゃちょう,president (of a company),595
⺭,,社,"company, firm",神社,じんじゃ,Shinto shrine,1271
⺭,,礼,"salute, bow",失礼,しつれい,"impoliteness, bad manners, I beg your parden/Goodbye",1397
⺭,,礼,"salute, bow",お礼,おれい,"thanks, reward, return present",1399
⺭,,祝,"celebrate, congratulate",祝日,しゅくじつ,"holiday, festival day",1426
⺭,,祝,"celebrate, congratulate",お祝い,おいわい,celebrate,1427
⺭,,祖,"ancestor, pioneer",お祖父さん,おじいさん,grandfather,1714
⺭,,祖,"ancestor, pioneer",お祖母さん,おばあさん,grandmother,1715
⺭,,祖,"ancestor, pioneer",祖父,そふ,grandfather,1717
⺭,,祖,"ancestor, pioneer",祖母,そぼ,grandmother,1718
彡,"three, hair ornament",顔,"face, expression",顔,かお,face,304
彡,"three, hair ornament",髪,hair of the head,髪の毛,かみのけ,hair,361
彡,"three, hair ornament",髪,hair of the head,髪,かみ,"hair, hairstyle",1603
彡,"three, hair ornament",形,"shape, form",人形,にんぎょう,doll,969
彡,"three, hair ornament",形,"shape, form",形,かたち,"shape, form",970
彡,"three, hair ornament",参,"nonplussed, three (in documents)",参加,さんか,"participation, taking part in",1195
彡,"three, hair ornament",参,"nonplussed, three (in documents)",人参,にんじん,carrot,1677
彡,"three, hair ornament",修,"discipline, conduct oneself well",修理,しゅうり,"repair, mending",1204
彡,"three, hair ornament",影,"shadow, silhouette",影響,えいきょう,"influence, effect",1258
彡,"three, hair ornament",珍,"rare, curious",珍しい,めずらしい,"unusual, rare, strange",1492
廴,long stride or stretching radical (no. 54),建,build,建てる,たてる,"build, erect",315
廴,long stride or stretching radical (no. 54),建,build,建設,けんせつ,"construction, establishment",1278
廴,long stride or stretching radical (no. 54),建,build,建物,たてもの,"building, structure",1279
廴,long stride or stretching radical (no. 54),建,build,建つ,たつ,"be built, be erected",1280
廴,long stride or stretching radical (no. 54),乏,"destitution, scarce",貧乏,びんぼう,"poor, poverty",1377
廴,long stride or stretching radical (no. 54),誕,"nativity, be born",誕生日,たんじょうび,birthday,1425
廴,long stride or stretching radical (no. 54),庭,"courtyard, garden",家庭,かてい,"home, family",1462
廴,long stride or stretching radical (no. 54),庭,"courtyard, garden",庭,にわ,"garden, court",1463
廴,long stride or stretching radical (no. 54),健,"healthy, health",健康,けんこう,healthy,1491
廴,long stride or stretching radical (no. 54),鍵,key,鍵,かぎ,"key, lock",1574
隶,"extend, give",緑,green,緑,みどり,"green, foliage",320
隶,"extend, give",緑,green,緑色,みどりいろ,green,1306
隶,"extend, give",録,record,記録,きろく,"record, documentation",1140
隶,"extend, give",録,record,録音,ろくおん,audio recording,1141
隶,"extend, give",逮,"apprehend, chase",逮捕,たいほ,"arrest, capture",1222
隶,"extend, give",康,"ease, peace",健康,けんこう,healthy,1491
戸,"door, counter for houses",戻,"re-, return",戻る,もどる,"return, turn back",323
戸,"door, counter for houses",肩,shoulder,肩,かた,shoulder,362
戸,"door, counter for houses",所,"place, extent",場所,ばしょ,"place, space",702
戸,"door, counter for houses",所,"place, extent",近所,きんじょ,neighborhood,703
戸,"door, counter for houses",所,"place, extent",台所,だいどころ,kitchen,704
戸,"door, counter for houses",所,"place, extent",住所,じゅうしょ,"address, one's dwelling",705
戸,"door, counter for houses",所,"place, extent",便所,べんじょ,"bathroom, lavatory",706
戸,"door, counter for houses",所,"place, extent",事務所,じむしょ,"office, one's place of business",1179
戸,"door, counter for houses",所,"place, extent",洗面所,せんめんじょ,"washroom, bathroom",1242
戸,"door, counter for houses",所,"place, extent",停留所,ていりゅうじょ,"stop, station",1316
戸,"door, counter for houses",房,"tassel, tuft",冷房,れいぼう,air conditioning,1302
戸,"door, counter for houses",房,"tassel, tuft",暖房,だんぼう,heating,1303
戸,"door, counter for houses",房,"tassel, tuft",文房具,ぶんぼうぐ,"stationery, writing materials",1304
戸,"door, counter for houses",涙,"tears, sympathy",涙,なみだ,tear,1430
戸,"door, counter for houses",扇,"fan, folding fan",扇風機,せんぷうき,electric fan,1610
走,run,起,"rouse, wake up",起きる,おきる,"get up, get out of bed",325
走,run,起,"rouse, wake up",起こる,おこる,happen,326
走,run,起,"rouse, wake up",起こす,おこす,wake up (someone),327
走,run,起,"rouse, wake up",起きる,おきる,occur,328
走,run,起,"rouse, wake up",早起き,はやおき,early rising,1324
走,run,徒,"on foot, junior",生徒,せいと,"pupil, student",748
走,run,趣,"purport, gist",趣味,しゅみ,"hobby, interest",1329
走,run,越,"surpass, cross over",引っ越す,ひっこす,move (houses),1391
走,run,越,"surpass, cross over",越える,こえる,"go over, go across, go beyond",1392
走,run,越,"surpass, cross over",引っ越し,ひっこし,moving (houses),1393
走,run,越,"surpass, cross over",追い越す,おいこす,"pass, outdo",1394
爿,left-side kata radical (no. 90),寝,"lie down, sleep",寝る,ねる,"sleep, go to sleep",329
爿,left-side kata radical (no. 90),寝,"lie down, sleep",昼寝,ひるね,nap,1325
爿,left-side kata radical (no. 90),寝,"lie down, sleep",寝坊,ねぼう,"oversleeping,&nbsp;late riser",1619
爿,left-side kata radical (no. 90),背,"stature, height",背,せ,"height, stature",348
爿,left-side kata radical (no. 90),背,"stature, height",背景,はいけい,"background, scenery, setting",1486
爿,left-side kata radical (no. 90),北,north,北,きた,north,490
爿,left-side kata radical (no. 90),状,"status quo, conditions",状況,じょうきょう,"situation, conditions&nbsp;",1147
爿,left-side kata radical (no. 90),状,"status quo, conditions",状態,じょうたい,"state, appearance (of a thing)",1149
爿,left-side kata radical (no. 90),状,"status quo, conditions",年賀状,ねんがじょう,New Year's card,1736
爿,left-side kata radical (no. 90),装,"attire, dress",装置,そうち,"equipment, device",1499
爿,left-side kata radical (no. 90),醤,a kind of miso,醤油,しょうゆ,soy sauce,1768
凵,"open box enclosure, open box radical (no. 17)",胸,"bosom, breast",胸,むね,chest,346
凵,"open box enclosure, open box radical (no. 17)",度,"degrees, occurrence",年度,ねんど,"fiscal year, school year",589
凵,"open box enclosure, open box radical (no. 17)",度,"degrees, occurrence",今度,こんど,"this time, next time",590
凵,"open box enclosure, open box radical (no. 17)",度,"degrees, occurrence",何度,なんど,"how many degrees, how many times",592
凵,"open box enclosure, open box radical (no. 17)",度,"degrees, occurrence",温度,おんど,temperature,673
凵,"open box enclosure, open box radical (no. 17)",度,"degrees, occurrence",制度,せいど,"system, organization",766
凵,"open box enclosure, open box radical (no. 17)",度,"degrees, occurrence",程度,ていど,"degree, extent",1402
凵,"open box enclosure, open box radical (no. 17)",席,"seat, mat",出席,しゅっせき,"attendance, presence",893
凵,"open box enclosure, open box radical (no. 17)",席,"seat, mat",席,せき,"seat, one's place",895
凵,"open box enclosure, open box radical (no. 17)",席,"seat, mat",欠席,けっせき,"absence, non-attendance",896
凵,"open box enclosure, open box radical (no. 17)",画,"brush-stroke, picture",計画,けいかく,"plan, project",955
凵,"open box enclosure, open box radical (no. 17)",画,"brush-stroke, picture",映画,えいが,movie,956
凵,"open box enclosure, open box radical (no. 17)",画,"brush-stroke, picture",映画館,えいがかん,movie theater,996
凵,"open box enclosure, open box radical (no. 17)",歯,"tooth, cog",歯医者,はいしゃ,dentist,1057
凵,"open box enclosure, open box radical (no. 17)",歯,"tooth, cog",歯,は,"tooth, cog",1058
凵,"open box enclosure, open box radical (no. 17)",歯,"tooth, cog",歯ブラシ,はぶらし,toothbrush,1059
凵,"open box enclosure, open box radical (no. 17)",歯,"tooth, cog",歯磨き,はみがき,"toothpaste, brushing one's teeth",1746
凵,"open box enclosure, open box radical (no. 17)",揺,"swing, shake",揺れる,ゆれる,"shake, sway, rock",1270
凵,"open box enclosure, open box radical (no. 17)",離,"detach, separation",離婚,りこん,divorce,1286
凵,"open box enclosure, open box radical (no. 17)",缶,"tin can, container",缶詰,かんづめ,canned goods,1681
凵,"open box enclosure, open box radical (no. 17)",缶,"tin can, container",缶,かん,"can, tin",1683
耒,"come, plough",業,"business, vocation",授業,じゅぎょう,"class, lesson",353
耒,"come, plough",業,"business, vocation",企業,きぎょう,"business, corporation",806
耒,"come, plough",業,"business, vocation",作業,さぎょう,"work, operation",807
耒,"come, plough",業,"business, vocation",産業,さんぎょう,industry,808
耒,"come, plough",業,"business, vocation",工業,こうぎょう,manufacturing industry,809
耒,"come, plough",業,"business, vocation",商業,しょうぎょう,"business, commerce",810
耒,"come, plough",業,"business, vocation",卒業,そつぎょう,graduation,1187
耒,"come, plough",業,"business, vocation",農業,のうぎょう,agriculture,1384
耒,"come, plough",業,"business, vocation",業者,ぎょうしゃ,business man,1907
耒,"come, plough",籍,"enroll, domiciliary register",国籍,こくせき,"citizenship, nationality",1421
⺨,,狭,"cramped, narrow",狭い,せまい,"narrow, restricted",356
⺨,,独,"single, alone",独身,どくしん,"single, unmarried",1408
⺨,,猫,cat,猫,ねこ,"cat, feline",1709
角,"angle, corner",触,"contact, touch",触る,さわる,"touch, feel",357
角,"angle, corner",解,"unravel, notes",解決,かいけつ,"solution, settlement",690
長,"long, leader",髪,hair of the head,髪の毛,かみのけ,hair,361
長,"long, leader",髪,hair of the head,髪,かみ,"hair, hairstyle",1603
長,"long, leader",張,"lengthen, counter for bows & stringed instruments",主張,しゅちょう,"argument, case, one's point",1541
長,"long, leader",張,"lengthen, counter for bows & stringed instruments",引っ張る,ひっぱる,"pull, drag",1542
長,"long, leader",張,"lengthen, counter for bows & stringed instruments",頑張る,がんばる,"persist, be tenacious",1675
長,"long, leader",帳,"notebook, account book",手帳,てちょう,"pocketbook, memo",1636
長,"long, leader",帳,"notebook, account book",電話帳,でんわちょう,telephone book,1637
母,mother,海,"sea, ocean",海外,かいがい,"overseas, abroad",446
母,mother,海,"sea, ocean",海,うみ,"sea, ocean",448
母,mother,海,"sea, ocean",海岸,かいがん,"coast, seashore",1461
母,mother,毎,every,毎日,まいにち,every day,449
母,mother,毎,every,毎年,まいとし,every year (less formal),450
母,mother,毎,every,毎週,まいしゅう,every week,452
母,mother,毎,every,毎月,まいつき,every month,453
母,mother,毎,every,毎朝,まいあさ,every morning,520
母,mother,毎,every,毎晩,まいばん,every evening,526
母,mother,毎,every,毎年,まいねん,every year (more formal),1820
母,mother,慣,"accustomed, get used to",慣れる,なれる,grow accustomed to,776
母,mother,慣,"accustomed, get used to",習慣,しゅうかん,"custom, habit",777
母,mother,梅,plum,梅雨,つゆ,rainy season,1727
母,mother,苺,strawberry,苺,いちご,strawberry,1762
⻂,,初,"first time, beginning",初めて,はじめて,"first, for the first time",506
⻂,,初,"first time, beginning",最初,さいしょ,"the beginning, first",507
⻂,,初,"first time, beginning",初め,はじめ,"beginning, start",508
⻂,,複,"duplicate, double",複雑,ふくざつ,"complicated, intricate",782
⻂,,補,"supplement, supply",候補,こうほ,"candidate, candidacy",1160
⻂,,被,"incur, cover",被る,かぶる,put on (a hat),1210
⻂,,袖,"sleeve, wing (building)",袖,そで,sleeve,1751
⻂,,袖,"sleeve, wing (building)",長袖,ながそで,clothes with long sleeves,1752
⻂,,袖,"sleeve, wing (building)",半袖,はんそで,short-sleeved shirt,1753
足,"leg, foot",路,"path, route",道路,どうろ,"road, street",579
足,"leg, foot",踊,"jump, dance",踊る,おどる,dance,1702
足,"leg, foot",踊,"jump, dance",踊り,おどり,"dance, dancing",1703
足,"leg, foot",踏,"step, trample",踏む,ふむ,"step on, tread on",1704
足,"leg, foot",踏,"step, trample",踏切,ふみきり,railroad crossing,1705
足,"leg, foot",蹴,kick,蹴る,ける,kick,1707
矛,"halberd, arms",野,"plains, field",分野,ぶんや,"field, sphere",627
矛,"halberd, arms",野,"plains, field",野菜,やさい,vegetable,628
矛,"halberd, arms",野,"plains, field",野球,やきゅう,baseball,1264
矛,"halberd, arms",務,"task, duties",事務所,じむしょ,"office, one's place of business",1179
矛,"halberd, arms",務,"task, duties",事務室,じむしつ,office,1180
矛,"halberd, arms",柔,"tender, weakness",柔道,じゅうどう,judo,1538
矛,"halberd, arms",柔,"tender, weakness",柔らかい,やわらかい,soft,1539
矛,"halberd, arms",柔,"tender, weakness",柔らか,やわらか,"soft, tender, gentle",1540
比,"compare, race",階,"storey, stair",二階,にかい,"second floor, upstairs",656
比,"compare, race",階,"storey, stair",段階,だんかい,"stage, step",658
比,"compare, race",階,"storey, stair",階段,かいだん,"steps, flight of stairs",659
比,"compare, race",批,"criticism, strike",批判,ひはん,"criticism, comment",1200
比,"compare, race",混,"mix, blend",混む,こむ,"be crowded, be congested",1226
比,"compare, race",皆,"all, everything",皆さん,みなさん,everybody (丁寧語),1417
比,"compare, race",皆,"all, everything",皆様,みなさま,everyone (敬語),1418
比,"compare, race",鹿,deer,馬鹿,ばか,"fool, nonsense",1754
殳,"pike, windy-again radical (no. 79)",段,"grade, steps",段階,だんかい,"stage, step",658
殳,"pike, windy-again radical (no. 79)",段,"grade, steps",階段,かいだん,"steps, flight of stairs",659
殳,"pike, windy-again radical (no. 79)",段,"grade, steps",段々,だんだん,"gradually, one after another",660
殳,"pike, windy-again radical (no. 79)",段,"grade, steps",値段,ねだん,price,661
殳,"pike, windy-again radical (no. 79)",投,"throw, discard",投げる,なげる,"throw, give up",740
殳,"pike, windy-again radical (no. 79)",投,"throw, discard",投資,とうし,investment,1116
殳,"pike, windy-again radical (no. 79)",役,"duty, war",役に立つ,やくにたつ,"be useful, be helpful",892
殳,"pike, windy-again radical (no. 79)",般,"carrier, carry",一般,いっぱん,"general, common",1045
殳,"pike, windy-again radical (no. 79)",設,"establishment, provision",設計,せっけい,"design, plan",1091
殳,"pike, windy-again radical (no. 79)",設,"establishment, provision",施設,しせつ,"facilities, institution",1092
殳,"pike, windy-again radical (no. 79)",設,"establishment, provision",設ける,もうける,"set up, establish, prepare",1093
殳,"pike, windy-again radical (no. 79)",設,"establishment, provision",建設,けんせつ,"construction, establishment",1278
殳,"pike, windy-again radical (no. 79)",殺,"kill, murder",殺す,ころす,"kill, smother",1221
殳,"pike, windy-again radical (no. 79)",撃,"beat, attack",攻撃,こうげき,"attack, criticism",1549
皿,"dish, a helping",温,warm,温度,おんど,temperature,673
皿,"dish, a helping",温,warm,気温,きおん,atmospheric temperature,674
皿,"dish, a helping",盗,"steal, rob",盗む,ぬすむ,"steal, rob",1220
皿,"dish, a helping",塩,salt,塩,しお,salt,1380
皿,"dish, a helping",塩,salt,塩辛い,しおからい,salty,1381
皿,"dish, a helping",血,blood,血,ち,blood,1484
皿,"dish, a helping",寧,"rather, preferably",丁寧,ていねい,"polite, courteous, careful",1666
⺖,,情,"feelings, emotion",事情,じじょう,"circumstances, conditions",678
⺖,,情,"feelings, emotion",情報,じょうほう,information,680
⺖,,性,"sex, gender",女性,じょせい,"female, woman (formal)",743
⺖,,慣,"accustomed, get used to",慣れる,なれる,grow accustomed to,776
⺖,,慣,"accustomed, get used to",習慣,しゅうかん,"custom, habit",777
⺖,,忙,"busy, occupied",忙しい,いそがしい,"busy, occupied",1064
⺖,,怖,"dreadful, be frightened",怖い,こわい,scary,1560
⺖,,怪,"suspicious, mystery",怪我,けが,injury,1668
⺖,,慢,"ridicule, laziness",我慢,がまん,"patience, self-restraint",1669
生,"life, genuine",性,"sex, gender",女性,じょせい,"female, woman (formal)",743
生,"life, genuine",産,"products, bear",生産,せいさん,production,744
生,"life, genuine",産,"products, bear",お土産,おみやげ,souvenir,745
生,"life, genuine",産,"products, bear",産業,さんぎょう,industry,808
生,"life, genuine",産,"products, bear",不動産屋,ふどうさんや,"real estate agent, realtor",911
生,"life, genuine",星,"star, spot",星,ほし,"star, planet, spot",1262
羽,"feathers, counter for birds, rabbits",習,learn,練習,れんしゅう,"practice, training",773
羽,"feathers, counter for birds, rabbits",習,learn,習う,ならう,"learn, practice",775
羽,"feathers, counter for birds, rabbits",習,learn,習慣,しゅうかん,"custom, habit",777
羽,"feathers, counter for birds, rabbits",習,learn,予習,よしゅう,preparation for class,865
羽,"feathers, counter for birds, rabbits",習,learn,自習,じしゅう,"self-study, self-teaching",1024
羽,"feathers, counter for birds, rabbits",習,learn,復習,ふくしゅう,review,1312
羽,"feathers, counter for birds, rabbits",扇,"fan, folding fan",扇風機,せんぷうき,electric fan,1610
石,stone,研,"polish, study of",研究,けんきゅう,"research, study",778
石,stone,確,"assurance, firm",確か,たしか,"for sure, for certain",1078
石,stone,確,"assurance, firm",確認,かくにん,confirmation,1079
石,stone,確,"assurance, firm",正確,せいかく,"accurate, precise",1118
石,stone,破,"rend, rip",破る,やぶる,"tear (st), break (through) （~を）",1211
石,stone,破,"rend, rip",破れる,やぶれる,"(st) rips, gets torn",1212
石,stone,砂,sand,砂糖,さとう,sugar,1382
石,stone,磨,"grind, polish",磨く,みがく,"polish, grind",1745
石,stone,磨,"grind, polish",歯磨き,はみがき,"toothpaste, brushing one's teeth",1746
弋,"piling, ceremony radical (no. 56)",試,"test, try",試験,しけん,"exam, test",779
弋,"piling, ceremony radical (no. 56)",貸,lend,貸す,かす,"lend, rent",834
弋,"piling, ceremony radical (no. 56)",貸,lend,貸し出す,かしだす,lend out<br>(used for businesses/banks),835
弋,"piling, ceremony radical (no. 56)",代,"substitute, change",時代,じだい,"age, era, antiquity",854
弋,"piling, ceremony radical (no. 56)",代,"substitute, change",代わる,かわる,"take (st/sb's) place, substitute for",855
弋,"piling, ceremony radical (no. 56)",代,"substitute, change",代える,かえる,"replace (O1を) with (O2に), substitute",856
弋,"piling, ceremony radical (no. 56)",代,"substitute, change",代表,だいひょう,representative,939
弋,"piling, ceremony radical (no. 56)",袋,"sack, bag",ビニール袋,ビニールぶくろ,plastic bag,952
弋,"piling, ceremony radical (no. 56)",袋,"sack, bag",手袋,てぶくろ,gloves,1626
弋,"piling, ceremony radical (no. 56)",袋,"sack, bag",袋,ふくろ,"bag, sack",1627
弋,"piling, ceremony radical (no. 56)",拭,"wipe, mop",拭く,ふく,"wipe, dry",1739
疋,"head, counter for animals",題,"topic, subject",問題,もんだい,"problem, question",780
疋,"head, counter for animals",題,"topic, subject",宿題,しゅくだい,homework,997
疋,"head, counter for animals",題,"topic, subject",課題,かだい,"task, problem",1018
疋,"head, counter for animals",定,"determine, fix",決定,けってい,decision,858
疋,"head, counter for animals",定,"determine, fix",一定,いってい,"constant, fixed",860
疋,"head, counter for animals",定,"determine, fix",定期券,ていきけん,commuter pass,861
疋,"head, counter for animals",定,"determine, fix",予定,よてい,"schedule, plan",862
疋,"head, counter for animals",提,"propose, take along",提供,ていきょう,"offer, provide",1129
疋,"head, counter for animals",提,"propose, take along",提案,ていあん,"proposition, proposal",1130
疋,"head, counter for animals",従,"accompany, obey",従来,じゅうらい,"former, old",1181
犬,dog,然,"sort of thing, so",当然,とうぜん,"naturally, of course",794
犬,dog,然,"sort of thing, so",全然,ぜんぜん,"(not) at all, totally (not)",795
犬,dog,然,"sort of thing, so",自然,しぜん,nature,1022
犬,dog,然,"sort of thing, so",自然,しぜん,"natural, naturally",1023
犬,dog,状,"status quo, conditions",状況,じょうきょう,"situation, conditions&nbsp;",1147
犬,dog,状,"status quo, conditions",状態,じょうたい,"state, appearance (of a thing)",1149
犬,dog,状,"status quo, conditions",年賀状,ねんがじょう,New Year's card,1736
犬,dog,燃,"burn, blaze",燃える,もえる,burn が,1452
文,"sentence, literature",済,"settle (debt, etc.), relieve (burden)",経済,けいざい,"economy, economics",802
文,"sentence, literature",対,"vis-a-vis, opposite",対する,たいする,"in response to, face",1036
文,"sentence, literature",対,"vis-a-vis, opposite",対立,たいりつ,"opposition, antagonism",1037
文,"sentence, literature",対,"vis-a-vis, opposite",反対,はんたい,"oppose, the opposite",1038
文,"sentence, literature",対,"vis-a-vis, opposite",対策,たいさく,"measure, countermeasure",1155
文,"sentence, literature",対,"vis-a-vis, opposite",対象,たいしょう,"target, subject",1202
文,"sentence, literature",対,"vis-a-vis, opposite",絶対に,ぜったいに,"absolutely, unconditionally",1551
文,"sentence, literature",蚊,mosquito,蚊,か,mosquito,1738
入,"enter, insert",込,"crowded, mixture",申し込む,もうしこむ,"apply for, make a proposal",836
入,"enter, insert",久,"long time, old story",久しぶり,ひさしぶり,after a long time,1245
甘,"sweet, coax",期,"period, time",期待,きたい,"expectation, anticipation",837
甘,"sweet, coax",期,"period, time",期間,きかん,period (of time),839
甘,"sweet, coax",期,"period, time",時期,じき,"time, period, season",840
甘,"sweet, coax",期,"period, time",定期券,ていきけん,commuter pass,861
甘,"sweet, coax",基,"fundamentals, radical (chem)",基づく,もとづく,be based on,1085
甘,"sweet, coax",基,"fundamentals, radical (chem)",基本,きほん,"basis, foundation",1086
甘,"sweet, coax",基,"fundamentals, radical (chem)",基準,きじゅん,"standard, criteria",1087
甘,"sweet, coax",旗,"national flag, banner",旗,はた,"flag, banner",1620
癶,dotted tent radical (no. 105),発,"departure, discharge",開発,かいはつ,development,930
癶,dotted tent radical (no. 105),発,"departure, discharge",発生,はっせい,"occurrence, happening",931
癶,dotted tent radical (no. 105),発,"departure, discharge",発言,はつげん,"statement, remark",932
癶,dotted tent radical (no. 105),発,"departure, discharge",発見,はっけん,"discovery, revelation",933
癶,dotted tent radical (no. 105),発,"departure, discharge",出発,しゅっぱつ,"departure, starting",934
癶,dotted tent radical (no. 105),発,"departure, discharge",発車,はっしゃ,"depart, leave (for vehicles)",935
癶,dotted tent radical (no. 105),発,"departure, discharge",発表,はっぴょう,announcement,936
癶,dotted tent radical (no. 105),祭,"ritual, offer prayers",祭り,まつり,festival,1100
癶,dotted tent radical (no. 105),際,"occasion, side",国際,こくさい,international,1101
癶,dotted tent radical (no. 105),際,"occasion, side",実際,じっさい,"reality, truth, the actual situation",1102
癶,dotted tent radical (no. 105),登,"ascend, climb up",登る,のぼる,"climb, mount, go up",1142
癶,dotted tent radical (no. 105),察,"guess, presume",警察,けいさつ,police,1218
手,hand,議,"deliberation, consultation",議員,ぎいん,legislator,1034
手,hand,議,"deliberation, consultation",会議,かいぎ,"conference, meeting",1035
手,hand,挙,"raise, plan",選挙,せんきょ,election,1159
手,hand,看,"watch over, see",看護師,かんごし,nurse,1434
手,hand,撃,"beat, attack",攻撃,こうげき,"attack, criticism",1549
手,hand,儀,"ceremony, rule",お辞儀,おじぎ,"bow, bowing",1617
手,hand,我,"ego, i",怪我,けが,injury,1668
手,hand,我,"ego, i",我慢,がまん,"patience, self-restraint",1669
舟,"boat, ship",般,"carrier, carry",一般,いっぱん,"general, common",1045
舟,"boat, ship",航,"navigate, sail",航空便,こうくうびん,airmail,1104
舟,"boat, ship",船,"ship, boat",船便,ふなびん,surface mail&nbsp;(ship),1105
舟,"boat, ship",船,"ship, boat",船,ふね,"ship, boat, vessel",1106
元,"beginning, former time",院,"inst., institution",病院,びょういん,hospital,1052
元,"beginning, former time",院,"inst., institution",入院,にゅういん,be hospitalized,1053
元,"beginning, former time",院,"inst., institution",大学院,だいがくいん,graduate school,1054
元,"beginning, former time",院,"inst., institution",退院,たいいん,discharge from a hospital,1189
元,"beginning, former time",院,"inst., institution",美容院,びよういん,hair salon,1507
元,"beginning, former time",完,"perfect, completion",完成,かんせい,"completion, finish",1110
元,"beginning, former time",頑,"stubborn, foolish",頑張る,がんばる,"persist, be tenacious",1675
示,"show, indicate",禁,"prohibition, ban",禁煙,きんえん,"no smoking, giving up smoking",1066
示,"show, indicate",祭,"ritual, offer prayers",祭り,まつり,festival,1100
示,"show, indicate",際,"occasion, side",国際,こくさい,international,1101
示,"show, indicate",際,"occasion, side",実際,じっさい,"reality, truth, the actual situation",1102
示,"show, indicate",察,"guess, presume",警察,けいさつ,police,1218
示,"show, indicate",余,"too much, myself",余る,あまる,"remain over, be too much<div>(remain because of excess)</div>",1368
示,"show, indicate",除,"exclude, division (x/3)",除く,のぞく,"exclude, get rid of",1369
示,"show, indicate",除,"exclude, division (x/3)",掃除,そうじ,cleaning,1651
示,"show, indicate",除,"exclude, division (x/3)",掃除機,そうじき,vacuum cleaner,1654
鳥,"bird, chicken",島,island,島,しま,"island, isle",1109
鳥,"bird, chicken",鳴,"chirp, cry",鳴る,なる,"sound, ring, thunder",1520
鳥,"bird, chicken",鳴,"chirp, cry",鳴く,なく,"make sound (animal); chirp, meow, etc.",1521
鳥,"bird, chicken",鶏,chicken,鶏,にわとり,"chicken, hen",1614
尤,"reasonable, just",就,"concerning, settle",就職,しゅうしょく,finding employment,1188
尤,"reasonable, just",蹴,kick,蹴る,ける,kick,1707
尢,crooked-big radical (no. 43),就,"concerning, settle",就職,しゅうしょく,finding employment,1188
尢,crooked-big radical (no. 43),沈,"sink, be submerged",沈む,しずむ,"sink, set",1244
尢,crooked-big radical (no. 43),蹴,kick,蹴る,ける,kick,1707
尢,crooked-big radical (no. 43),枕,pillow,枕,まくら,pillow,1730
辰,"sign of the dragon, 7-9am",震,"quake, shake",地震,じしん,earthquake,1267
辰,"sign of the dragon, 7-9am",震,"quake, shake",震える,ふるえる,"tremble, quiver, shake",1268
辰,"sign of the dragon, 7-9am",振,"shake, wave",振る,ふる,"wave, shake, swing",1269
